Aachen	5B53CB	Aachener
Abkhazia	4C996B	Abkhazian
Achaea	ADAD03	Achaean
Aland	EA9E8F	Alandic
Albania	AC334B	Albanian
Aleppo	355456	Aleppine
Algarve	3547AD	Algarvian
Algeria	395150	Algerian
Algiers	DDE8BF	Algerian
Andalusia	6BA543	Andalusian
Angevin Empire	910000	Angevin
Anjou	9CD6D8	Angevin
Antioch	EAEAB6	Antiochian
Aosta	510C13	Aostan
Aq Qoyunlu	EDFFF6	Aq Qoyunlu
Aquitaine	562D59	Aquitainian
Arabia	567245	Arabian
Aragon	873648	Aragonese
Armenia	561A3B	Armenian
Artois	771773	Artesian
Astrakhan	303E9B	Astrakhani
Asturias	3B98AF	Asturian
Athens	7FD1FF	Athenian
Augsburg	23AF7E	Augsburgish
Austria	F2F2E1	Austrian
Austria-Hungary	DDDDD0	Austro-Hungarian
Auvergne	D88450	Auvergnese
Avignon	70755F	Avignonese
Aydin	772334	Aydinid
Baden	73A03B	Badenese
Bar	2C4277	Barroisian
Bavaria	0A78CC	Bavarian
Belarus	3D3F21	Belarusian
Belgium	635151	Belgian
Berg	3C5560	Bergish
Bohemia	C6B257	Bohemian
Bornholm	7A820E	Bornholmian
Bosnia	489DCE	Bosnian
Bosnia-Herzegovina	B6A3A7	Bosnian
Brabant	6BAF76	Brabantian
Brandenburg	706262	Brandenburgian
Bremen	AA4520	Bremenese
Brittany	6B5A89	Breton
Brunswick	685E49	Brunswickian
Bulgaria	6DA089	Bulgarian
Burgundy	8E153F	Burgundian
Byzantium	932461	Byzantine
Carolingian Empire	447C4A	Carolingian
Castile	CCB20A	Castilian
Catalonia	EA9159	Catalan
Champagne	DDB256	Champagnian
Chernigov	C0C0C0	Chernigovian
Circassia	52722D	Circassian
Clanricarde	B8EA38	Clanricarder
Cleves	DDC8C1	Cleveish
Cologne	577F33	Colognian
Commonwealth	B2506F	Commonwealth
Corfu	D5D5E8	Corfu
Cork	8E4747	Corkish
Cornwall	75403A	Cornish
Corsica	ADF2FF	Corsican
Cossack State	7C6B73	Cossack
Courland	6899A3	Curonian
Crete	A4A4BC	Cretian
Crimea	4F7989	Crimean
Crimean Khanate	50A88B	Crimean
Croatia	98B8BC	Croatian
Cyprus	FFF0AF	Cypriot
Czechia	275D82	Czech
Czechoslovakia	3E51AA	Czechoslovak
Dalmatia	54A8CC	Dalmatian
Damascus	556A6B	Damascene
Darmstadt	4A4751	Darmstadter
Denmark	CC4F41	Danish
Dithmarschen	7CAD83	Dithmarschener
Djerid	350F4C	Djeridi
Dobruja	6F5784	Dobrujan
Dulkadir	5BA023	Dulkadirid
East Frisia	9658BC	East Frisian
Eastanglia	C17754	Eastanglian
Egypt	D3A10A	Egyptian
England	B22117	English
Epirus	A3FFFF	Epiri
Eretna	D63B2C	Eretnid
Erzincan	B59FFF	Erzincanli
Estonia	7F1F67	Estonian
European Union	0F2D8F	European
Euskadi	486338	Basque
Fadl	6C8960	Fadl
Faroe Islands	B5C6FF	Faroese
Ferrara	4E8000	Ferraran
Fezzan	B56172	Fezzani
Finland	D6E4FF	Finnish
Flanders	BFA835	Flemish
Florence	D82B2B	Florentian
France	1C52BF	French
Franconia	D81570	Franconian
Frankfurt	99937D	Frankfurter
Friesland	3A5C99	Frisian
Frisia	5960D6	Frisian
Gaeldom	174F41	Gaelic
Galicia	AF5675	Galician
Galicia-Lodomeria	AF814D	Galician-Lodomerian
Gascony	5A896D	Gascon
Gelre	89234F	Geldern
Genoa	E5DE22	Genoese
Georgia	FFBFDD	Georgian
Germany	546B7F	German
Germiyan	D1D34C	Germiyanid
Gibraltar	91586E	Gibraltan
Golden Horde	FFBF00	Golden Horde
Gotland	4E5E93	Gutnish
Granada	78859E	Granadan
Great Britain	932D2D	British
Great Horde	BFB699	Great Horde
Great Perm	5B70A5	Permian
Greece	6795CE	Greek
Hainaut	2B8DAC	Hainautian
Halberstadt	4F8E36	Halberstadter
Halych	6D6436	Halych
Hamburg	886B99	Hamburgish
Hanover	BC6E5C	Hanoverian
Herzegovina	D396C2	Herzegovinan
Hesse	E5BC16	Hessian
Holland	C48050	Hollandish
Holstein	E5A5AC	Holsteinian
Holy Roman Empire	A6A6BF	Imperial
Hungary	96424C	Hungarian
Iceland	386899	Icelandic
Illyria	575FB2	Illyrian
Ireland	4A685C	Irish
Isfendiyar	626D65	Isfendiyarid
Israel	7AD0FF	Israeli
Italy	456628	Italian
Jordan	C67F85	Jordanian
Kalenberg	8CC2B2	Kalenbergish
Karaman	4B9ABC	Karamanid
Karelia	86C7ED	Karelian
Kassel	E5C750	Kasselish
Kazan	616582	Kazani
Kildare	536889	Kildarish
Kosovo	D8B171	Kosovar
Krakow	639ED8	Krakowian
